	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
41064_at	73.16	A	0.7	114.31	A	0.62
41065_at	129.8	A	0.5	133.06	A	0.38
41066_at	74.09	A	0.56	61.39	A	0.6
41067_at	10.9	A	0.7	25	A	0.46
41068_at	30.02	A	0.99	24.91	A	0.93
41069_at	34.34	A	0.84	37.91	A	0.87
41070_r_at	1.86	A	0.91	32.28	A	0.14
41071_at	89.75	A	0.62	111.06	A	0.54
41072_at	164.84	A	0.27	36.36	A	0.85
41073_at	7.4	A	0.98	11.41	A	0.89
41074_at	254.02	A	0.3	148.93	A	0.32
41075_at	159.48	A	0.12	168.77	A	0.07
41076_at	77.36	A	0.99	82.87	A	0.98
41077_at	148.03	A	0.27	206.23	A	0.16
41078_at	1212.59	P	0.03	1026.18	P	0.01
41079_at	330.23	A	0.38	598.81	A	0.2
41080_at	97.38	A	0.64	66.2	A	0.78
41081_at	10.66	A	0.88	26.24	A	0.66
41082_at	142.07	A	0.5	30.33	A	0.72
41083_at	698.33	A	0.08	372.85	A	0.18
41084_at	1155.14	P	0	967.58	P	0
41085_at	5.7	A	0.96	30.1	A	0.68
41086_at	19.67	A	0.89	15.45	A	0.88
41087_at	103.8	A	0.6	163.36	A	0.62
41088_at	154.01	A	0.38	50.66	A	0.58
41089_at	87.98	A	0.44	77.3	A	0.54
41090_s_at	2.66	A	0.9	3.18	A	0.97
41091_at	1632.44	P	0	1906.88	P	0
41092_at	23.22	A	0.93	49.98	A	0.7
41093_at	136.4	M	0.05	125.63	A	0.25
41094_at	49.25	A	0.62	22.01	A	0.72
41095_at	367.47	A	0.16	474.89	A	0.11
41096_at	5198.41	P	0	2880.04	P	0
41097_at	520.01	P	0	753.04	P	0
41098_at	423.6	A	0.12	603.7	P	0.02
41099_at	282.94	A	0.27	278.49	A	0.14
411_i_at	6351.58	P	0	7886.04	P	0
41100_at	206.77	A	0.27	287.69	A	0.32
41101_at	706.73	P	0.01	920.96	P	0
41102_at	592.51	A	0.28	156.53	A	0.42
41103_at	38.79	A	0.88	13.96	A	0.68
41104_at	9.48	A	0.99	11.22	A	0.97
41105_s_at	40.48	A	0.7	10.1	A	0.92
41106_at	89.31	A	0.52	46.41	A	0.54
41107_at	164.88	A	0.32	226.03	A	0.14
41108_at	830.11	A	0.08	1016.44	P	0.01
41109_at	720.41	P	0	551.09	P	0
41110_at	90.72	A	0.22	83.28	A	0.15
41111_at	499.24	A	0.27	218.37	A	0.32
41112_at	119.96	A	0.64	15.68	A	0.91
41113_at	427.81	P	0.02	386.22	P	0
41114_at	53.3	A	0.96	68.98	A	0.8
41115_s_at	168.77	A	0.85	140.98	A	0.8
41116_at	718.1	M	0.05	611.56	P	0.03
41117_s_at	2643.01	P	0	1367.05	P	0.02
41118_at	938.44	A	0.11	926.27	A	0.14
41119_f_at	72.58	A	0.66	7.17	A	0.66
41120_at	383.78	A	0.4	655.38	A	0.12
41121_at	28.92	A	0.81	24.57	A	0.7
41122_at	230.01	A	0.5	253.3	A	0.22
41123_s_at	924.99	P	0	1197.95	P	0
41124_r_at	234.61	P	0.01	390.48	P	0
41125_r_at	1115.31	A	0.2	535.63	A	0.28
41126_at	213.86	A	0.15	336.07	A	0.19
41127_at	214.32	M	0.04	310.93	P	0.04
41128_at	219.94	A	0.18	240.51	A	0.13
41129_at	196.67	P	0.01	280.14	P	0
41130_at	391.86	P	0.04	422.53	A	0.08
41131_f_at	165.21	P	0	232.11	P	0
41132_r_at	312.25	P	0.01	461.09	P	0
41133_at	302.44	P	0	444.22	P	0
41134_at	1227.39	P	0.01	565.16	M	0.04
41135_at	45.82	A	0.64	11.49	A	0.84
41136_s_at	1643.88	P	0	1324.1	P	0
41137_at	618	P	0	983.88	P	0
41138_at	3993.84	P	0	4857.4	P	0
41139_at	759.87	P	0	1157.01	P	0
41140_at	3012.98	P	0.01	1213.02	P	0.04
41141_at	52.49	A	0.2	94.96	A	0.12
41142_at	113.32	P	0.03	106.94	A	0.14
41143_at	5021.24	P	0	6533.26	P	0
41144_g_at	606.95	P	0	321.08	A	0.13
41145_at	202.72	M	0.04	238.23	A	0.12
41146_at	228.24	P	0.03	333.01	P	0.02
41147_at	106.99	P	0.02	197.23	P	0
41148_at	5.47	A	0.88	4.26	A	0.85
41149_at	43.86	A	0.91	145.06	A	0.75
41150_r_at	11.23	A	0.85	44.38	A	0.34
41151_at	551.17	P	0	538.92	P	0.01
41152_f_at	5788.9	P	0	6139.81	P	0
41153_f_at	2554.51	P	0	2113.95	P	0
41154_r_at	99.45	A	0.06	203.46	P	0
41155_at	3872.01	P	0	3075.25	P	0
41156_g_at	1999.66	P	0	2070.53	P	0
41157_at	3.5	A	0.84	14.36	A	0.87
41158_at	148.43	A	0.36	180.1	A	0.25
41159_at	292.37	A	0.06	322.58	P	0.01
41160_at	1273.85	A	0.09	1351.58	P	0.02
41161_at	1262.28	P	0.01	2492.24	P	0.01
41162_at	1360.75	P	0.01	1142.98	P	0.01
41163_at	536.64	M	0.05	470.67	A	0.07
41164_at	1963.05	P	0	2030.31	P	0
41165_g_at	1145.8	A	0.15	1381.73	A	0.14
41166_at	352.78	A	0.5	434.76	A	0.42
41167_at	506.3	P	0.01	582.98	P	0.01
41168_at	6400.71	P	0	4287.3	P	0
41169_at	533.81	A	0.44	471.47	A	0.2
41170_at	559.14	P	0.01	1009.09	P	0
41171_at	3028.1	P	0	2155.47	P	0
41172_at	506.89	A	0.12	279.26	A	0.11
41173_at	25.1	A	0.58	29.29	A	0.56
41174_at	224.88	P	0.02	263.51	P	0
41175_at	1079.84	P	0	1029.13	P	0.01
41176_at	1323.07	P	0	1177.28	P	0
41177_at	2936.03	P	0	4560.83	P	0
41178_at	10385.15	P	0	11738.03	P	0
41179_at	348.33	P	0	833.88	P	0
41180_i_at	269.65	A	0.19	48.86	A	0.46
41181_r_at	2511.3	A	0.22	1700.73	A	0.23
41182_at	100.11	A	0.56	35.11	A	0.62
41183_at	546.75	P	0	264.17	P	0.02
41184_s_at	1007.9	P	0.03	583.49	P	0.04
41185_f_at	3543.5	P	0	4720.88	P	0
41186_at	11.23	A	0.89	18.1	A	0.73
41187_at	5225.66	P	0	3922.59	P	0
41188_at	922.41	P	0	1116.9	P	0
41189_at	269.32	A	0.07	219.86	P	0.04
41190_at	612.69	P	0	737.25	P	0
41191_at	2061.02	P	0	4131.36	P	0
41192_at	234.47	A	0.13	77.69	A	0.3
41193_at	3594.62	P	0	4567.09	P	0
41194_at	4007.04	P	0	3599.43	P	0
41195_at	359.5	P	0	360.94	P	0
41196_at	261.77	P	0.01	202.02	A	0.15
41197_at	1486.93	P	0	1830.94	P	0.01
41198_at	6082.98	P	0	5802.22	P	0
41199_s_at	312.65	P	0.01	164.74	A	0.14
41200_at	939.72	P	0	741.72	P	0.01
41201_at	144.66	P	0.01	79.71	A	0.13
41202_s_at	1886.97	P	0	2397.55	P	0
41203_at	1211.53	A	0.23	2615.34	P	0.03
41204_s_at	73.14	A	0.96	55.43	A	0.98
41205_at	252.62	A	0.1	322.36	A	0.06
41206_r_at	10058.91	P	0	10583.71	P	0
41207_at	608.38	M	0.04	468.57	M	0.04
41208_at	203.35	A	0.07	113.57	A	0.12
41209_at	1718.54	P	0	2930.95	P	0
41210_at	30.37	A	0.87	109.96	A	0.4
41211_at	95.23	A	0.25	39.13	A	0.44
41212_r_at	1639.1	P	0.01	1223.7	P	0.01
41213_at	4352.55	P	0	4802.39	P	0
41214_at	67.58	A	0.62	4029.9	P	0
41215_s_at	1686.65	P	0	2565.09	P	0
41216_r_at	58.22	A	0.25	68.71	M	0.04
41217_at	5.94	A	0.95	13.17	A	0.91
41218_at	174.02	A	0.07	112.03	M	0.05
41219_at	84.75	A	0.18	134.28	P	0.03
41220_at	4614.43	P	0.01	6909.78	P	0.01
41221_at	7023.83	P	0	6670.98	P	0
41222_at	2569.58	P	0	2504.56	P	0
41223_at	850.41	P	0	518.38	P	0
41224_at	1577.75	P	0	1941.17	P	0
41225_at	937.46	P	0	632.83	P	0
41226_at	369.61	P	0.03	352.18	P	0.04
41227_at	2302.02	P	0.03	2671.53	P	0.02
41228_r_at	177.5	P	0.02	102.46	A	0.07
41229_at	490	P	0	589.6	P	0
41230_at	522.42	A	0.4	101.32	A	0.6
41231_f_at	7843.24	P	0	10382.28	P	0
41232_at	117.08	A	0.07	157.3	P	0.03
41233_at	1997.71	P	0	1610.82	P	0
41234_at	499.22	M	0.04	598.19	M	0.04
41235_at	1785.44	P	0	2294.68	P	0
41236_at	493.7	A	0.16	417.7	A	0.32
41237_at	28427.79	P	0	21284.64	P	0
41238_s_at	81.71	A	0.66	74.98	A	0.78
41239_r_at	122.29	P	0.03	115.64	P	0
41240_at	53.38	A	0.25	52.83	A	0.11
41241_at	1615.87	P	0	1619.84	P	0
41242_at	167.88	P	0	275.54	P	0
41243_at	695.55	P	0	713.13	P	0
41244_f_at	96.1	A	0.56	275.43	A	0.18
41245_at	245.75	P	0.04	443.61	P	0
41246_at	323.05	P	0.01	976.78	P	0
41247_at	384.21	P	0.01	392.12	P	0
41248_at	66.31	A	0.19	72.14	A	0.27
41249_at	897.69	P	0.01	458.67	M	0.05
41250_at	449.58	P	0	359.65	P	0.01
41251_at	717.76	P	0	372.32	P	0.01
41252_s_at	87.19	A	0.08	25.03	A	0.5
41253_s_at	1508.94	P	0	1547.41	P	0
41254_at	72.29	A	0.18	64.22	A	0.15
41255_at	235.9	A	0.38	42.56	A	0.52
41256_at	4373.1	P	0	4691.91	P	0
41257_at	238.27	P	0	285.44	P	0
41258_at	1380.61	P	0	1147.02	P	0
41259_at	296.38	A	0.36	29.47	A	0.68
41260_at	228.09	P	0.04	560.54	P	0.03
41261_at	168.84	A	0.52	37.54	A	0.81
41262_at	173.23	A	0.72	478.86	A	0.46
41263_at	81.63	A	0.36	20.04	A	0.54
41264_at	586.45	A	0.08	921.11	A	0.07
41265_at	51.45	A	0.75	40.29	A	0.81
41266_at	628.29	P	0	1188.18	P	0
41267_at	1269.74	P	0	960.2	P	0
41268_g_at	2144.49	P	0.01	3047.91	P	0
41269_r_at	241.21	P	0.01	207.91	P	0.03
41270_at	73.67	A	0.62	71.9	A	0.6
41271_at	946.08	P	0.02	1139.72	P	0.03
41272_s_at	249.38	P	0	184.8	P	0.04
41273_at	1171.89	P	0	1035.56	P	0
41274_at	492.84	P	0	406.94	A	0.07
41275_at	32.07	A	0.6	42.12	A	0.5
41276_at	933.8	P	0.01	740.21	A	0.06
41277_at	266.61	P	0.03	262.02	P	0.04
41278_at	261.39	P	0.01	516.62	P	0.01
41279_f_at	1261.67	A	0.07	1116.27	A	0.12
41280_r_at	506.67	A	0.4	228.97	A	0.48
41281_s_at	625.31	A	0.14	407.78	A	0.08
41282_s_at	481.56	A	0.13	498.24	P	0.04
41283_at	688.36	P	0	1541.14	P	0
41284_at	148.4	A	0.62	41.25	A	0.68
41285_at	424.22	A	0.34	329.17	A	0.4
41286_at	167.52	P	0	174.56	P	0.02
41287_s_at	500.67	P	0.04	150.51	A	0.54
41288_at	2222.86	P	0	3780.9	P	0
41289_at	262.55	A	0.38	348.21	A	0.34
41290_at	32.38	A	0.56	23.69	A	0.66
41291_at	1145.79	A	0.09	785.38	A	0.18
41292_at	646.84	P	0	605.55	P	0
41293_at	441.59	A	0.56	704.45	A	0.23
41294_at	2554.08	P	0	1365.74	P	0
41295_at	2581.11	P	0	4118.66	P	0
41296_s_at	197.7	P	0.01	144.18	A	0.07
41297_at	54.33	A	0.7	84.53	A	0.5
41298_at	39.89	A	0.54	6.46	A	0.7
41299_f_at	26.36	A	0.92	30.46	A	0.91
413_at	29.09	A	0.88	69.51	A	0.8
41300_s_at	5564.16	P	0	3119.9	P	0
41301_at	764.84	M	0.05	920.63	M	0.04
41302_at	1167.34	P	0	835.39	P	0
41303_r_at	104.72	A	0.12	21.48	A	0.58
41304_at	153.41	A	0.07	145.49	A	0.25
41305_at	570.18	A	0.2	221.98	A	0.22
41306_at	747.83	A	0.07	593.16	A	0.1
41307_at	60.18	A	0.73	89.79	A	0.58
41308_at	864.71	P	0	593.31	P	0
41309_g_at	1323.84	P	0	1754.98	P	0
41310_f_at	606.92	A	0.1	545.37	A	0.14
41311_f_at	94.82	A	0.77	55.6	A	0.89
41312_r_at	117.56	A	0.56	80.75	A	0.62
41313_at	63.51	A	0.46	10.74	A	0.58
41314_at	1499.86	P	0	1385.37	P	0
41315_at	77.5	A	0.52	82.63	A	0.54
41316_s_at	488.26	P	0	436.49	P	0
41317_at	113.12	P	0.04	36.09	A	0.18
41318_g_at	185.66	A	0.38	44.69	A	0.48
41319_at	34.9	A	0.98	18.56	A	0.99
41320_s_at	854.87	P	0	852.3	P	0
41321_s_at	229.57	A	0.7	213.76	A	0.73
41322_s_at	340.73	P	0.02	263.84	A	0.19
41323_at	83.67	A	0.54	57.68	A	0.36
41324_g_at	939.49	P	0	810.82	P	0.02
41325_at	1097.62	P	0.02	1667.92	P	0
41326_at	32.41	A	0.97	30.01	A	0.93
41327_at	60.64	A	0.82	43.77	A	0.91
41328_s_at	248.1	P	0.01	363.89	P	0
41329_at	176.12	M	0.05	221.14	P	0.02
41330_s_at	76.23	A	0.46	17.99	A	0.73
41331_at	319.51	P	0.02	230.86	P	0.04
41332_at	1016.8	A	0.07	391.36	A	0.08
41333_at	150.67	P	0.01	144.73	P	0
41334_r_at	27.6	A	0.68	31.55	A	0.7
41335_at	858.24	P	0	941.07	P	0
41336_at	20.73	A	0.62	52.83	A	0.42
41337_at	4177.61	P	0	1891.6	P	0
41338_at	4750.39	P	0	4431.56	P	0
41339_at	213.7	A	0.22	273.22	P	0.04
41340_at	545.95	A	0.27	674.22	A	0.1
41341_at	54.71	A	0.82	34.96	A	0.72
41342_at	160.19	P	0.03	187.12	P	0.04
41343_at	295.86	A	0.14	432.01	P	0.02
41344_s_at	1632.74	P	0	1956.76	P	0
41345_at	67.06	A	0.6	223.36	A	0.32
41346_at	187.36	A	0.1	326.81	P	0.01
41347_at	189.83	A	0.73	389.15	A	0.64
41348_at	13.17	A	0.93	23.56	A	0.92
41349_at	382.7	P	0.01	165.31	A	0.15
41350_at	165.18	A	0.42	69.24	A	0.68
41351_at	452.38	P	0.04	754.59	P	0.01
41352_at	462.99	P	0.01	473	P	0.03
41353_at	66.98	A	0.62	40.67	A	0.54
41354_at	174.84	P	0.01	568.6	P	0
41355_at	292.54	A	0.36	116.41	A	0.68
41356_at	147.43	A	0.19	224.97	P	0.03
41357_at	179.44	A	0.56	52.74	A	0.77
41358_at	69.15	A	0.22	34.6	A	0.32
41359_at	670.82	A	0.11	605.08	A	0.19
41360_at	151.34	P	0.01	99.32	A	0.08
41361_at	536.2	A	0.34	544.19	A	0.22
41362_at	387.97	P	0	208.95	P	0
41363_at	67.49	A	0.72	8.89	A	0.95
41364_r_at	61.19	A	0.5	29.66	A	0.46
41365_at	327.81	A	0.52	1039.72	P	0.02
41366_at	492.38	P	0	588.07	P	0
41367_at	120.11	A	0.1	9.2	A	0.58
41368_at	153.65	A	0.58	26.74	A	0.77
41369_at	89.39	A	0.4	10.5	A	0.73
41370_at	149.15	P	0.03	166.38	A	0.06
41371_at	52.3	A	0.7	130.41	A	0.42
41372_at	195.19	P	0.04	334.77	P	0.01
41373_s_at	136.37	A	0.3	17.87	A	0.93
41374_at	1201.26	P	0.01	940.53	P	0.01
41375_at	1068.25	P	0	1381.18	P	0
41376_i_at	27.64	A	0.86	17	A	0.93
41377_f_at	15.92	A	0.73	13.38	A	0.82
41378_at	52.07	A	0.34	156.75	P	0.02
41379_at	248.73	P	0.01	566.29	P	0
41380_at	588.29	A	0.09	512.71	A	0.19
41381_at	331.16	P	0	504.71	P	0
41382_at	6741.43	P	0	6065.86	P	0
41383_at	246.32	A	0.58	148.87	A	0.77
41384_at	40.38	A	0.77	8.89	A	0.93
41385_at	1234.82	P	0	1247.96	P	0
41386_i_at	2345.97	P	0	6127.09	P	0
41387_r_at	862.24	M	0.05	1077.44	P	0
41388_at	152.05	A	0.38	214.38	P	0
41389_s_at	155.48	A	0.36	96.82	A	0.3
41390_at	592.51	P	0.01	389.42	A	0.18
41391_at	39.75	A	0.93	23.9	A	0.95
41392_at	30.27	A	0.72	24.91	A	0.78
41393_at	15.82	A	0.85	22.18	A	0.58
41394_at	488.64	P	0.02	483.73	M	0.04
41395_at	260.98	A	0.08	564.17	M	0.05
41396_at	269.72	A	0.06	354.95	P	0
41397_at	105.76	A	0.75	81.75	A	0.62
41398_at	159.98	M	0.05	228.35	P	0.04
41399_at	149.34	A	0.09	209.34	P	0.02
414_at	142.26	A	0.3	83.82	A	0.38
41400_at	327.2	A	0.32	335.41	A	0.28
41401_at	193.25	P	0.04	289.86	P	0.01
41402_at	454.92	P	0.04	458.69	P	0.01
41403_at	519.82	P	0	512.55	P	0
41404_at	694.72	A	0.06	479.44	A	0.11
41405_at	86.54	A	0.07	49.24	A	0.18
41406_at	661.44	A	0.16	538.78	A	0.16
41407_at	362.74	P	0	297.31	P	0.01
41408_at	72.28	A	0.6	43.06	A	0.6
41409_at	2031.92	P	0	1460.03	P	0
41410_at	63.59	A	0.4	33.21	A	0.44
41411_at	249.87	P	0	184.53	P	0.01
41412_at	50.78	A	0.86	77.39	A	0.66
41413_at	922.97	P	0.01	720.82	P	0.01
41414_at	750.54	A	0.54	195.21	A	0.72
41415_at	486.6	P	0.02	300.24	A	0.18
41416_at	14.1	A	0.82	12.3	A	0.81
41417_at	198.7	A	0.14	242.7	A	0.1
41418_at	649.96	M	0.04	528.81	P	0.04
41419_at	103.24	P	0.02	89.88	P	0.02
41420_at	95.63	A	0.3	75.43	A	0.52
41421_at	373.42	P	0	916.34	P	0
41422_at	35.41	A	0.86	81.51	A	0.64
41423_at	1967.06	A	0.3	3023.23	M	0.05
41424_at	379.51	A	0.14	317.73	A	0.3
41425_at	202.75	P	0	158.5	M	0.05
41426_at	188.91	A	0.68	399.27	A	0.12
41427_at	63.62	A	0.95	51.48	A	0.92
41428_at	471.43	A	0.06	276.95	A	0.07
41429_at	198.09	A	0.1	34.59	A	0.8
41430_at	263.12	P	0	445.31	P	0.02
41431_at	138.03	A	0.13	69.01	A	0.18
41432_at	70.32	A	0.1	82.01	P	0.01
41433_at	132.3	A	0.06	233.86	A	0.08
41434_at	60.99	A	0.28	57.81	A	0.06
41435_at	276.48	A	0.27	287.3	A	0.2
41436_at	220.66	P	0	282	P	0
41437_at	125.7	P	0.04	95.19	P	0.03
41438_at	376.01	P	0.01	175.15	P	0.02
41439_at	1107.14	P	0	1124.19	P	0
41440_at	385.75	A	0.07	443.02	P	0.04
41441_at	168.69	A	0.27	364.25	A	0.25
41442_at	273.2	A	0.5	137.25	A	0.3
41443_at	520.51	P	0	485.92	P	0
41444_at	45.99	A	0.48	16.71	A	0.64
41445_at	479.97	P	0.02	353.16	P	0.04
41446_f_at	4525.34	P	0.01	3998.46	P	0
41447_at	404.73	P	0	851.3	P	0
41448_at	103.74	A	0.07	40.04	A	0.28
41449_at	915.38	P	0	705.45	P	0
41450_at	672.96	A	0.12	589.22	A	0.15
41451_s_at	418.59	P	0	234.09	P	0
41452_at	29.31	A	0.9	31.01	A	0.9
41453_at	66.47	A	0.82	60.25	A	0.86
41454_at	761.46	P	0	881.07	P	0
41455_at	84.12	A	0.28	88.83	A	0.3
41456_at	39.25	A	0.93	25.13	A	0.96
41457_at	222.41	P	0.02	197.16	P	0.03
41458_at	1897.74	A	0.07	3335.06	P	0.02
41459_at	116.26	A	0.1	149.69	P	0
41460_at	387.46	M	0.05	629.04	P	0.02
41461_at	72.85	A	0.25	71.76	A	0.12
41462_at	194.39	P	0.02	252.22	P	0
41463_at	222.25	A	0.14	227.83	M	0.05
41464_at	409.68	A	0.14	520.26	A	0.1
41465_at	269.23	P	0	357.33	P	0
41466_s_at	292.52	P	0.04	267.04	P	0.01
41467_at	53.7	A	0.82	168.78	A	0.46
41468_at	124.31	A	0.28	568.1	P	0
41469_at	267.19	A	0.08	367.75	A	0.06
41470_at	162.04	P	0.01	68.3	A	0.19
41471_at	2145.5	P	0	1945.54	P	0
41472_at	104.64	A	0.13	18.34	A	0.7
41473_at	21.6	A	0.93	28.9	A	0.82
41474_at	222.32	P	0.04	82.27	A	0.16
41475_at	392.6	P	0.02	65.04	A	0.72
41476_at	735.35	P	0.01	630.54	P	0.01
41477_at	99.87	A	0.3	12.33	A	0.7
41478_at	424.2	A	0.22	599.09	A	0.11
41479_s_at	70.26	A	0.6	60.91	A	0.48
41480_at	18	A	0.5	20	A	0.54
41481_at	238.28	P	0.03	13.18	A	0.87
41482_at	219.65	A	0.54	166.91	A	0.62
41483_s_at	9505.37	P	0	16216.79	P	0
41484_r_at	3235.08	P	0.03	1820.04	A	0.1
41485_at	5274.48	P	0	5075.49	P	0
41486_at	16.24	A	0.97	5.32	A	0.96
41487_at	18.17	A	0.98	10.76	A	0.96
41488_at	232.2	P	0.01	378.72	P	0.02
41489_at	193.58	P	0	232.22	P	0.01
41490_at	364.92	P	0	338.26	P	0.01
41491_s_at	728.29	P	0	362.25	P	0
41492_r_at	198.87	A	0.81	139.2	A	0.91
41493_at	63.04	A	0.27	5.67	A	0.6
41494_at	38.09	A	0.94	80.95	A	0.6
41495_at	203.54	P	0.02	70.37	A	0.16
41496_at	323.91	A	0.38	332.34	A	0.42
41497_at	567.19	A	0.42	217.73	A	0.64
41498_at	1178.79	P	0	1497.08	P	0
41499_at	358.92	P	0	129.9	P	0.03
415_at	7.69	A	0.68	12.35	A	0.68
41500_at	587.81	A	0.12	475.02	M	0.05
41501_at	53.33	A	0.4	126.33	A	0.3
41502_at	146.22	A	0.18	148	A	0.23
41503_at	362.77	P	0	374.2	P	0
41504_s_at	660.57	P	0	1166.55	P	0
41505_r_at	192.97	P	0.01	375.58	P	0.04
41506_at	153.58	P	0.02	138.99	M	0.05
41507_at	216.26	A	0.52	300.85	A	0.42
41508_at	61.05	A	0.54	160.24	A	0.25
41509_at	34.84	A	0.34	41.22	A	0.3
41510_s_at	640.22	P	0	506.2	P	0
41511_at	155.34	A	0.18	102.58	A	0.13
41512_at	153.34	A	0.52	62.23	A	0.56
41513_s_at	53.51	A	0.98	27.42	A	0.99
41514_s_at	664.59	P	0.03	533.84	P	0.02
41515_at	113.89	A	0.28	22.25	A	0.58
41516_at	313.06	A	0.36	36.02	A	0.87
41517_g_at	140.38	A	0.64	84.55	A	0.56
41518_at	76.19	A	0.48	96.82	A	0.25
41519_at	40.67	A	0.89	23.2	A	0.91
41520_at	211.16	A	0.38	35.7	A	0.62
41521_at	43.04	A	0.93	35.13	A	0.95
41522_at	754.16	A	0.27	496.61	A	0.44
41523_at	273.27	A	0.11	166.14	A	0.13
41524_at	308.67	P	0.04	66.68	A	0.15
41525_at	950.54	P	0.02	1262.69	P	0.01
41526_at	697.83	P	0.02	617.21	P	0.02
41527_f_at	14.09	A	0.99	27.71	A	0.94
41528_at	497.32	A	0.19	98.68	A	0.46
41529_g_at	536.96	P	0	541.8	P	0
41530_at	893.53	P	0	494.12	P	0
41531_at	1957.67	P	0	1583.35	P	0
41532_at	735.75	P	0.02	384.67	P	0
41533_at	29.28	A	0.44	113.94	A	0.14
41534_at	54.54	A	0.52	110.67	A	0.34
41535_at	715.86	P	0	561.44	P	0.01
41536_at	60.9	A	0.4	106.49	P	0
41537_r_at	519.74	A	0.4	236.92	A	0.52
41538_r_at	55.19	A	1	35.1	A	1
41539_at	188.74	A	0.5	162.56	A	0.38
41540_at	845.15	P	0.01	620.62	P	0.01
41541_at	94.03	A	0.75	91.36	A	0.73
41542_at	945.93	P	0	1402.57	P	0
41543_at	281.76	A	0.77	183.22	A	0.6
41544_at	217.96	P	0	402.67	P	0
41545_at	473.17	A	0.18	385.12	A	0.18
41546_at	301.98	P	0.04	253.42	A	0.06
41547_at	362.38	P	0	612.28	P	0
41548_at	72.91	A	0.36	99.81	A	0.38
41549_s_at	449.54	P	0	654.5	P	0
41550_at	227.87	P	0.01	88.85	A	0.36
41551_at	1672.86	P	0	1210.64	P	0
41552_g_at	1103.54	P	0.01	481.21	P	0
41553_at	150.88	A	0.19	128.6	A	0.3
41554_at	63.39	A	0.73	20.63	A	0.6
41555_at	80.73	A	0.73	52.35	A	0.78
41556_s_at	224.73	A	0.18	232.74	A	0.14
41557_at	99.87	A	0.08	80.5	M	0.04
41558_s_at	54.01	A	0.96	41.23	A	0.93
41559_at	32.2	A	0.8	52.38	A	0.77
41560_at	30.41	A	0.9	20.68	A	0.88
41561_s_at	733.39	P	0.03	372.45	M	0.05
41562_at	427.46	P	0	344.94	P	0
41563_at	91.6	A	0.14	110.71	A	0.15
41564_at	17.89	A	0.75	10.83	A	0.93
41565_at	1756.52	P	0.01	1826.61	P	0
41566_at	109.42	A	0.6	114.34	A	0.5
41567_at	26.78	A	0.94	13.02	A	0.96
41568_at	140.19	A	0.54	39.58	A	0.68
41569_at	339.46	A	0.16	338.29	M	0.05
41570_at	21.99	A	0.44	34.17	A	0.48
41571_at	141.38	A	0.2	159.66	P	0.03
41572_r_at	126.77	P	0.03	84.93	P	0.04
41573_at	419.09	P	0	499.92	P	0
41574_at	112.95	A	0.09	53.47	A	0.38
41575_at	92.02	A	0.11	52.17	A	0.42
41576_at	100.8	A	0.32	98.63	A	0.27
41577_at	215.26	A	0.81	38.74	A	0.84
41578_at	35.98	A	0.82	11.29	A	0.94
41579_s_at	333.31	P	0	231.06	P	0.01
41580_at	67.71	A	0.92	15.66	A	0.9
41581_at	19.82	A	0.64	6.81	A	0.86
41582_at	68.41	A	0.38	68.34	A	0.46
41583_at	364.02	P	0.03	249.01	A	0.06
41584_at	662.68	P	0	794.37	P	0
41585_at	327.69	P	0	303.21	P	0.01
41586_at	207.64	A	0.15	151.45	A	0.08
41587_g_at	29.15	A	0.7	13.93	A	0.94
41588_at	170.96	A	0.44	128.77	A	0.38
41589_at	32.06	A	0.98	58.75	A	0.81
41590_at	691.79	A	0.16	1068.75	A	0.19
41591_at	568.11	P	0.04	753.22	P	0
41592_at	230.16	A	0.42	381.12	A	0.08
41593_at	48.61	A	0.89	29.32	A	0.93
41594_at	766.2	P	0	704.88	P	0
41595_at	178.07	P	0.02	204.2	A	0.09
41596_s_at	733.12	M	0.05	439.21	A	0.11
41597_s_at	1095.57	P	0	1243.04	P	0
41598_at	390.92	A	0.11	209.65	A	0.06
41599_at	27.33	A	0.48	46.36	A	0.56
416_s_at	406.79	A	0.4	747.61	A	0.27
41600_at	316.99	A	0.18	256.08	A	0.18
41601_at	276.3	P	0	417.78	P	0.01
41602_at	75.98	A	0.98	38.54	A	0.99
41603_at	530.47	P	0.04	390.82	A	0.15
41604_at	230.03	P	0.01	305.02	P	0.01
41605_at	159.59	A	0.18	7.88	A	0.82
41606_at	886.17	P	0.02	893.16	P	0.02
41607_at	18.52	A	0.89	28.53	A	0.84
41608_at	4.11	A	0.98	2.44	A	1
41609_at	3782.49	P	0	3904.87	P	0
41610_at	624.16	P	0	849.14	P	0
41611_at	61.05	A	0.42	38.25	A	0.48
41612_at	137.82	A	0.66	34.58	A	0.66
41613_at	30.42	A	0.84	22.47	A	0.82
41614_at	515.59	A	0.36	435.77	A	0.18
41615_at	50.31	A	0.78	13.78	A	0.81
41616_at	47.69	A	0.62	41.19	A	0.78
41617_at	523.24	A	0.15	295.62	A	0.2
41618_at	17.86	A	0.9	22.91	A	0.88
41619_at	780.4	P	0	1134.3	P	0
41620_at	830.84	P	0	854.83	P	0
41621_i_at	158.24	P	0.03	351.39	P	0
41622_r_at	380.67	P	0.01	242.66	P	0.01
41623_s_at	256.04	A	0.54	13.28	A	0.89
41624_r_at	1530.92	A	0.34	4351.34	A	0.15
41625_at	411.87	P	0	607.46	P	0
